time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2003-04-17T00:48:38.580Z,37.529,96.476,14,6.4,mwc,549,25,,0.86,us,usp000bvbg,2022-05-02T16:30:03.249Z,"278 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,hrv
2008-11-10T01:22:02.570Z,37.565,95.833,19,6.3,mwc,432,17.4,,0.86,us,usp000gnbj,2022-05-02T21:05:53.926Z,"northern Qinghai, China",earthquake,,,,,reviewed,us,us
2009-08-28T01:52:06.640Z,37.696,95.718,13,6.3,mwc,351,30.5,,0.81,us,usp000h0y8,2022-05-02T22:29:12.042Z,"294 km SW of Laojunmiao, China",earthquake,,,,,reviewed,us,gcmt
2009-08-31T10:15:29.770Z,37.606,95.831,6,5.8,mwc,347,26.3,,0.91,us,usp000h134,2022-05-02T22:19:38.393Z,"297 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,gcmt
2004-05-10T23:27:25.490Z,37.485,96.604,10,5.6,mwb,419,32,,0.85,us,usp000cuq1,2022-05-02T17:11:04.991Z,"278 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,us
2009-08-28T02:16:08.040Z,37.679,95.767,16.4,5.6,mb,218,20.2,,0.75,us,usp000h0yb,2022-05-02T21:24:43.044Z,"293 km SW of Laojunmiao, China",earthquake,,9,,124,reviewed,us,us
2009-08-28T02:14:56.190Z,37.646,95.709,4,5.6,mb,298,17.5,,0.9,us,usp000h0ya,2022-05-02T21:18:30.024Z,"299 km SW of Laojunmiao, China",earthquake,,10.2,,127,reviewed,us,us
2004-05-04T05:04:58.350Z,37.506,96.758,13.5,5.5,mwb,263,24.4,,1.06,us,usp000cu4k,2022-05-02T17:10:27.067Z,"271 km SSW of Laojunmiao, China",earthquake,,16.9,,,reviewed,us,us
2009-08-30T17:15:50.840Z,37.672,95.651,10,5.4,mwc,168,29.1,,0.84,us,usp000h128,2022-05-02T21:17:23.884Z,"northern Qinghai, China",earthquake,,,,,reviewed,us,gcmt
2009-08-31T21:51:37.610Z,37.643,95.887,10,5.3,mb,230,36.4,,0.83,us,usp000h13g,2022-05-02T21:18:53.569Z,"291 km SSW of Laojunmiao, China",earthquake,,,,130,reviewed,us,us
2004-05-04T11:36:03.030Z,37.473,96.914,10,5.2,mwc,183,24.1,,0.91,us,usp000cu59,2022-05-02T17:10:28.218Z,"271 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,hrv
2004-03-16T21:23:19.860Z,37.558,96.668,14.3,5.2,mwb,411,24.1,,0.84,us,usp000cq47,2022-05-02T17:06:11.474Z,"269 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,us
2009-08-29T18:43:51.840Z,37.641,95.717,10,5.2,mb,149,32.4,,0.87,us,usp000h10w,2022-05-02T21:18:46.470Z,"299 km SW of Laojunmiao, China",earthquake,,,,89,reviewed,us,us
2013-06-05T00:43:36.490Z,37.604,95.931,9,5.1,mwb,100,30,,0.74,us,usb000hdu8,2022-05-03T16:21:44.541Z,"292 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,us
2003-05-03T06:12:58.650Z,37.483,96.543,10,5.1,ms,108,51,,0.99,us,usp000bwgj,2022-05-02T16:31:41.985Z,"280 km SSW of Laojunmiao, China",earthquake,,,,1,reviewed,us,us
2004-02-24T20:21:54.010Z,37.487,96.828,41.4,5.1,mwc,127,50.3,,1.19,us,usp000cn42,2022-05-02T17:03:38.824Z,"272 km SSW of Laojunmiao, China",earthquake,,11,,,reviewed,us,hrv
2008-11-11T21:56:01.840Z,37.539,95.84,10,5.1,mwc,219,33.2,,0.84,us,usp000gng9,2016-11-10T02:03:57.636Z,"northern Qinghai, China",earthquake,,0,,,reviewed,us,gcmt
2008-12-18T17:39:25.020Z,36.755,96.449,17.9,5.1,mb,127,33.8,,0.76,us,usp000gqvj,2014-11-07T01:37:59.262Z,"northern Qinghai, China",earthquake,,8.6,,49,reviewed,us,us
2009-09-17T09:24:19.580Z,37.636,95.944,10,5.1,mb,146,36.1,,0.86,us,usp000h1kp,2022-05-02T21:19:15.991Z,"289 km SSW of Laojunmiao, China",earthquake,,,,65,reviewed,us,us
2009-09-18T07:02:12.070Z,37.651,95.604,6.5,5.1,mb,107,48.3,,0.82,us,usp000h1mm,2022-05-02T21:19:24.563Z,"northern Qinghai, China",earthquake,,10.7,,50,reviewed,us,us
2009-11-04T21:56:08.630Z,37.645,95.759,3,5.1,mwc,278,28,,0.72,us,usp000h3rc,2022-07-15T20:31:59.086Z,"297 km SW of Laojunmiao, China",earthquake,,7.5,,,reviewed,us,gcmt
2008-11-10T03:47:23.030Z,37.558,95.762,10,5,mb,173,40,,0.74,us,usp000gnbv,2022-05-02T19:47:52.347Z,"northern Qinghai, China",earthquake,,,,113,reviewed,us,us
2009-12-21T05:15:08.870Z,37.526,96.644,10,5,mwc,227,27.4,,0.8,us,usp000h581,2022-05-02T21:30:33.487Z,"273 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,gcmt
2009-08-28T16:28:41.230Z,37.688,95.783,10,5,mwc,146,28,,0.84,us,usp000h0zd,2022-05-02T21:18:41.146Z,"292 km SW of Laojunmiao, China",earthquake,,,,,reviewed,us,gcmt
2009-09-18T06:53:48.920Z,37.653,95.593,5.1,5,mb,141,46.4,,0.79,us,usp000h1mk,2022-05-02T21:19:22.973Z,"northern Qinghai, China",earthquake,,10,,66,reviewed,us,us
2009-09-01T00:16:05.040Z,37.68,95.88,10,5,mb,107,62.2,,0.94,us,usp000h13k,2022-05-02T21:17:26.057Z,"288 km SSW of Laojunmiao, China",earthquake,,,,44,reviewed,us,us
2011-08-11T17:06:14.470Z,37.66,95.69,10,5,mb,144,38.6,,0.81,us,usp000j6ag,2022-04-08T21:58:10.364Z,"299 km SW of Laojunmiao, China",earthquake,,,,71,reviewed,us,us
2003-04-17T17:11:50.230Z,37.517,96.473,10,4.9,mb,127,50.9,,0.89,us,usp000bvd3,2022-05-02T16:30:18.629Z,"279 km SSW of Laojunmiao, China",earthquake,,,,78,reviewed,us,us
2004-03-02T12:30:23.430Z,37.526,96.677,29.5,4.9,mwc,228,37.2,,0.81,us,usp000cnxb,2016-11-10T00:27:32.997Z,"272 km SSW of Laojunmiao, China",earthquake,,12.4,,,reviewed,us,hrv
2008-11-12T12:09:31.180Z,37.574,95.926,10,4.9,mwc,131,33.3,,0.89,us,usp000gnhn,2016-11-10T02:04:00.470Z,"295 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,gcmt
2008-12-06T10:24:36.430Z,37.603,95.757,10,4.9,mb,97,45.1,,0.89,us,usp000gq1d,2014-11-07T01:37:54.644Z,"northern Qinghai, China",earthquake,,,,37,reviewed,us,us
2009-08-28T04:28:41.760Z,37.668,95.761,12.1,4.9,mb,160,32.8,,0.73,us,usp000h0yq,2022-05-02T21:17:22.758Z,"295 km SW of Laojunmiao, China",earthquake,,8.9,,74,reviewed,us,us
2010-04-20T03:40:01.020Z,37.607,95.7,10,4.9,mb,73,99.3,,0.6,us,usp000hbpe,2014-11-07T01:41:18.035Z,"northern Qinghai, China",earthquake,,,,23,reviewed,us,us
2003-04-19T19:41:40.820Z,37.518,96.48,10,4.8,mb,112,40.5,,1.05,us,usp000bvj3,2014-11-07T01:18:23.090Z,"279 km SSW of Laojunmiao, China",earthquake,,,,56,reviewed,us,us
2009-08-28T10:13:58.700Z,37.701,95.729,10,4.8,mb,76,41.7,,0.97,us,usp000h0z7,2022-05-02T21:18:35.706Z,"293 km SW of Laojunmiao, China",earthquake,,,,30,reviewed,us,us
2009-09-01T10:06:52.600Z,37.684,95.625,10,4.8,mb,76,63.4,,0.84,us,usp000h141,2014-11-07T01:39:37.536Z,"northern Qinghai, China",earthquake,,,,28,reviewed,us,us
2009-08-31T22:27:51.780Z,37.689,95.936,10,4.8,mwc,163,33.2,,0.85,us,usp000h13h,2016-11-10T02:16:47.740Z,"284 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,gcmt
2009-09-10T00:20:12.130Z,37.646,95.907,10,4.8,mwc,166,36.3,,0.84,us,usp000h1cs,2016-11-10T02:17:05.552Z,"290 km SSW of Laojunmiao, China",earthquake,,,,,reviewed,us,gcmt
2009-09-18T00:43:24.600Z,37.596,95.631,10.2,4.8,mb,58,63,,1.25,us,usp000h1m6,2014-11-07T01:39:42.831Z,"northern Qinghai, China",earthquake,,3.7,,22,reviewed,us,us
2012-10-13T07:08:39.230Z,37.56,95.729,10,4.8,mb,130,50.5,,0.87,us,usp000jtxn,2014-11-07T01:49:04.972Z,"northern Qinghai, China",earthquake,,,,73,reviewed,us,us
2013-01-30T17:32:55.320Z,36.663,96.536,15.3,4.7,mb,86,35.7,,1.07,us,usc000eyit,2014-11-07T01:49:54.730Z,"northern Qinghai, China",earthquake,,,,33,reviewed,us,us
2003-04-21T05:51:26.310Z,37.491,96.529,10,4.7,mb,53,68.9,,1,us,usp000bvne,2014-11-07T01:18:23.374Z,"280 km SSW of Laojunmiao, China",earthquake,,,,26,reviewed,us,us
2003-04-17T02:24:38.310Z,37.555,96.533,10,4.7,mb,11,142.6,,1.31,us,usp000bvbs,2014-11-07T01:18:21.532Z,"273 km SSW of Laojunmiao, China",earthquake,,,,2,reviewed,us,us
2012-09-27T12:38:41.570Z,37.589,95.837,23.2,4.7,mb,117,57,,0.9,us,usp000jt3j,2014-11-07T01:48:55.664Z,"298 km SSW of Laojunmiao, China",earthquake,,8.6,,56,reviewed,us,us
2003-04-17T11:29:53.900Z,37.498,96.3,10,4.6,mb,20,120.7,,1.16,us,usp000bvcr,2014-11-07T01:18:21.631Z,"287 km SSW of Laojunmiao, China",earthquake,,,,6,reviewed,us,us
2004-08-25T18:45:34.070Z,37.532,96.562,10,4.6,mb,60,68.8,,0.85,us,usp000d2ve,2014-11-07T01:23:15.887Z,"275 km SSW of Laojunmiao, China",earthquake,,,,31,reviewed,us,us
2009-08-31T10:26:01.060Z,37.644,96.022,10,4.6,mb,38,40.3,,1.01,us,usp000h135,2014-11-07T01:39:35.539Z,"284 km SSW of Laojunmiao, China",earthquake,,,,4,reviewed,us,us
2009-08-28T02:30:18.110Z,37.663,95.792,10,4.6,mb,50,62.6,,1.01,us,usp000h0yc,2014-11-07T01:39:34.250Z,"294 km SW of Laojunmiao, China",earthquake,,,,22,reviewed,us,us
2009-08-28T04:41:46.880Z,37.709,95.602,10,4.6,mb,66,63.5,,0.77,us,usp000h0yr,2014-11-07T01:39:34.327Z,"299 km SW of Laojunmiao, China",earthquake,,,,15,reviewed,us,us
2010-04-09T04:38:49.460Z,37.568,95.718,10,4.6,mb,50,99.4,,1.07,us,usp000hb13,2014-11-07T01:41:14.131Z,"northern Qinghai, China",earthquake,,,,9,reviewed,us,us
2013-04-03T18:42:52.550Z,37.329,97.131,10,4.5,mb,69,47.6,,0.82,us,usb000fz4x,2014-11-07T01:50:30.092Z,"282 km S of Laojunmiao, China",earthquake,,,,26,reviewed,us,us
2013-07-13T03:31:04.380Z,37.522,96.068,12.4,4.5,mb,71,56,,0.83,us,usb000idkl,2014-11-07T01:51:15.810Z,"294 km SSW of Laojunmiao, China",earthquake,,4.9,,51,reviewed,us,us
2003-04-17T08:41:55.260Z,37.588,96.596,10,4.5,mb,37,45.6,,0.99,us,usp000bvcg,2014-11-07T01:18:21.608Z,"268 km SSW of Laojunmiao, China",earthquake,,,,12,reviewed,us,us
2004-05-17T03:04:53.370Z,37.416,96.544,10,4.5,mb,18,149.5,,0.92,us,usp000cv9q,2014-11-07T01:22:20.253Z,"287 km SSW of Laojunmiao, China",earthquake,,0,,2,reviewed,us,us
2004-03-02T07:13:40.770Z,37.651,96.716,10,4.5,mb,26,68.5,,1.06,us,usp000cnws,2014-11-07T01:21:36.387Z,"257 km SSW of Laojunmiao, China",earthquake,,0,,4,reviewed,us,us
2008-01-20T11:17:56.010Z,37.984,95.454,8.7,4.5,mb,49,64.2,,0.81,us,usp000fx34,2014-11-07T01:34:44.131Z,"284 km SW of Laojunmiao, China",earthquake,,13.5,,19,reviewed,us,us
2008-11-12T01:45:21.510Z,37.527,95.852,10,4.5,mb,46,111.9,,0.76,us,usp000gngu,2014-11-07T01:37:43.593Z,"northern Qinghai, China",earthquake,,,,18,reviewed,us,us
2009-08-30T16:41:36.470Z,37.692,95.605,16.7,4.5,mb,39,63.5,,1.18,us,usp000h125,2014-11-07T01:39:35.339Z,"northern Qinghai, China",earthquake,,19.1,,10,reviewed,us,us
2009-08-28T04:12:41.580Z,37.689,95.637,10,4.5,mb,69,73.6,,0.95,us,usp000h0ym,2014-11-07T01:39:34.306Z,"299 km SW of Laojunmiao, China",earthquake,,,,28,reviewed,us,us
2009-09-02T04:13:06.300Z,37.729,95.575,10,4.5,mb,50,63.6,,1.1,us,usp000h14y,2014-11-07T01:39:38.392Z,"299 km SW of Laojunmiao, China",earthquake,,,,11,reviewed,us,us
2003-04-25T20:10:37.310Z,37.516,96.729,10,4.4,mb,25,80.8,,1.06,us,usp000bvyr,2014-11-07T01:18:26.056Z,"271 km SSW of Laojunmiao, China",earthquake,,,,4,reviewed,us,us
2003-05-10T10:15:15.830Z,37.484,96.461,10,4.4,mb,25,135.6,,1.13,us,usp000bwyu,2014-11-07T01:18:35.981Z,"283 km SSW of Laojunmiao, China",earthquake,,,,6,reviewed,us,us
2003-04-17T15:51:26.710Z,37.646,96.493,10,4.4,mb,8,104.6,,1.25,us,usp000bvd0,2014-11-07T01:18:21.670Z,"265 km SSW of Laojunmiao, China",earthquake,,,,1,reviewed,us,us
2003-04-17T04:32:57.670Z,37.594,96.683,10,4.4,mb,24,87.5,,1.12,us,usp000bvc2,2014-11-07T01:18:21.560Z,"264 km SSW of Laojunmiao, China",earthquake,,,,6,reviewed,us,us
2004-03-02T12:37:41.570Z,37.463,96.73,56.8,4.4,mb,37,68.7,,1,us,usp000cnxc,2014-11-07T01:21:36.965Z,"277 km SSW of Laojunmiao, China",earthquake,,16,,7,reviewed,us,us
2009-08-28T04:46:07.390Z,37.672,95.692,10,4.4,mb,37,112.1,,0.73,us,usp000h0ys,2014-11-07T01:39:34.332Z,"298 km SW of Laojunmiao, China",earthquake,,,,9,reviewed,us,us
2009-08-28T02:42:29.790Z,37.629,95.77,10,4.4,mb,57,64.3,,0.77,us,usp000h0ye,2014-11-07T01:39:34.257Z,"298 km SW of Laojunmiao, China",earthquake,,,,23,reviewed,us,us
2010-07-14T21:19:29.890Z,36.762,97.464,35,4.4,mb,32,65.2,,0.61,us,usp000hf9w,2014-11-07T01:41:53.283Z,"northern Qinghai, China",earthquake,,,,9,reviewed,us,us
2003-04-17T08:35:23.450Z,37.26,96.621,10,4.3,mb,9,172.5,,1.42,us,usp000bvce,2014-11-07T01:18:21.605Z,"northern Qinghai, China",earthquake,,,,1,reviewed,us,us
2003-04-20T10:04:03.050Z,37.525,96.626,10,4.3,mb,27,81.2,,1.03,us,usp000bvkb,2014-11-07T01:18:23.212Z,"273 km SSW of Laojunmiao, China",earthquake,,,,1,reviewed,us,us
2004-02-18T16:30:26.630Z,37.513,96.791,40.2,4.3,mb,17,104.8,,0.97,us,usp000cmge,2014-11-07T01:21:22.371Z,"270 km SSW of Laojunmiao, China",earthquake,,12,,1,reviewed,us,us
2004-05-19T03:25:45.620Z,37.657,96.704,10,4.3,mb,10,171.1,,1.26,us,usp000cvhe,2014-11-07T01:22:20.964Z,"257 km SSW of Laojunmiao, China",earthquake,,0,,1,reviewed,us,us
2007-09-14T21:53:27.200Z,36.626,95.118,20,4.3,mb,7,243.8,,1.39,us,usp000fn9n,2014-11-07T01:33:35.258Z,"northern Qinghai, China",earthquake,,0,,3,reviewed,us,us
2008-11-10T04:39:49.140Z,37.519,95.749,10,4.3,mb,24,112.1,,0.89,us,usp000gnbz,2014-11-07T01:37:43.074Z,"northern Qinghai, China",earthquake,,,,6,reviewed,us,us
2008-11-13T20:16:25.670Z,37.635,95.896,10,4.3,mb,25,107.1,,0.91,us,usp000gnme,2014-11-07T01:37:43.956Z,"291 km SSW of Laojunmiao, China",earthquake,,,,5,reviewed,us,us
2009-09-04T08:12:56.960Z,37.643,95.737,10,4.3,mb,41,42.5,,1.35,us,usp000h17d,2014-11-07T01:39:40.177Z,"298 km SW of Laojunmiao, China",earthquake,,,,13,reviewed,us,us
2009-08-30T04:11:24.520Z,37.672,95.632,10,4.3,mb,39,99.3,,0.86,us,usp000h117,2014-11-07T01:39:35.131Z,"northern Qinghai, China",earthquake,,,,11,reviewed,us,us
2009-08-28T03:15:15.660Z,37.602,95.756,10,4.3,mb,39,99.2,,0.8,us,usp000h0yg,2014-11-07T01:39:34.268Z,"northern Qinghai, China",earthquake,,,,12,reviewed,us,us
2013-03-28T10:26:43.560Z,37.345,97.098,10,4.2,mb,38,92,,0.98,us,usb000fugx,2014-11-07T01:50:24.090Z,"281 km S of Laojunmiao, China",earthquake,,3,,17,reviewed,us,us
2013-03-29T12:53:00.710Z,37.34,97.087,10,4.2,mb,44,70.6,,0.74,us,usb000fvkw,2014-11-07T01:50:24.775Z,"282 km SSW of Laojunmiao, China",earthquake,,,,20,reviewed,us,us
2013-09-18T00:16:44.700Z,36.8692,95.1488,9.92,4.2,mb,,65,7.898,0.81,us,usb000jyff,2013-12-09T21:11:07.000Z,"northern Qinghai, China",earthquake,,2.8,0.167,,reviewed,us,us
2004-02-25T16:07:58.330Z,37.441,96.835,47.8,4.2,mb,11,104.4,,1.2,us,usp000cn86,2014-11-07T01:21:28.605Z,"276 km SSW of Laojunmiao, China",earthquake,,22.2,,1,reviewed,us,us
2003-04-17T01:17:40.510Z,37.252,96.448,10,4.2,mb,21,139.4,,1.15,us,usp000bvbk,2014-11-07T01:18:21.519Z,"northern Qinghai, China",earthquake,,,,4,reviewed,us,us
2008-03-06T19:13:14.950Z,36.755,96.58,38.5,4.2,mb,27,93.9,,0.91,us,usp000g0vf,2014-11-07T01:35:11.896Z,"northern Qinghai, China",earthquake,,9.7,,4,reviewed,us,us
2009-09-05T08:59:20.740Z,37.644,95.883,10,4.2,mb,36,98.8,,1.35,us,usp000h18m,2014-11-07T01:39:40.581Z,"291 km SSW of Laojunmiao, China",earthquake,,,,9,reviewed,us,us
2013-07-08T11:34:07.170Z,37.558,95.804,10,4.2,mb,46,57,,0.75,us,usp000k1ty,2014-11-07T01:51:14.361Z,"northern Qinghai, China",earthquake,,,,25,reviewed,us,us
2005-09-16T18:20:42.780Z,37.137,95.632,10,4.1,mb,17,145.8,,1.07,us,usp000dzjp,2014-11-07T01:27:05.020Z,"northern Qinghai, China",earthquake,,,,3,reviewed,us,us
2008-11-13T20:15:53.180Z,37.66,95.905,10,4.1,mb,28,70.8,,0.98,us,usp000gnmd,2014-11-07T01:37:43.953Z,"northern Qinghai, China",earthquake,,,,5,reviewed,us,us
2009-08-28T10:39:41.860Z,37.633,95.728,10,4.1,mb,23,75.8,,0.77,us,usp000h0z8,2014-11-07T01:39:34.404Z,"northern Qinghai, China",earthquake,,,,4,reviewed,us,us
2009-08-31T22:33:24.120Z,37.511,95.91,10,4.1,mb,19,65.1,,0.85,us,usp000h13j,2014-11-07T01:39:35.596Z,"northern Qinghai, China",earthquake,,,,5,reviewed,us,us
2009-09-04T09:12:44.920Z,37.658,95.875,10,4.1,mb,20,98.8,,1.1,us,usp000h17h,2014-11-07T01:39:40.208Z,"290 km SSW of Laojunmiao, China",earthquake,,,,4,reviewed,us,us
2010-06-11T08:00:29.790Z,37.605,96.116,25.8,4.1,mb,27,111.2,,0.92,us,usp000hdu7,2014-11-07T01:41:40.004Z,"284 km SSW of Laojunmiao, China",earthquake,,19.9,,9,reviewed,us,us
2013-07-08T16:25:29.650Z,37.494,95.819,10,4.1,mb,13,104,,0.87,us,usp000k1u3,2014-11-07T01:51:14.429Z,"northern Qinghai, China",earthquake,,,,5,reviewed,us,us
2008-11-10T01:50:28.690Z,37.582,95.783,10,4,mb,17,112,,0.73,us,usp000gnbm,2014-11-07T01:37:43.034Z,"northern Qinghai, China",earthquake,,,,1,reviewed,us,us
2009-01-03T08:51:00.030Z,37.17,96.789,10,4,mb,19,80.7,,1.24,us,usp000gs1u,2014-11-07T01:38:08.939Z,"northern Qinghai, China",earthquake,,,,7,reviewed,us,us
2009-08-28T05:58:30.620Z,37.751,95.728,14.6,4,mb,23,76.1,,1.43,us,usp000h0yx,2014-11-07T01:39:34.358Z,"289 km SW of Laojunmiao, China",earthquake,,27,,4,reviewed,us,us
2009-08-28T02:32:19.160Z,37.674,95.821,10,4,mb,17,121.7,,1.2,us,usp000h0yd,2014-11-07T01:39:34.255Z,"291 km SW of Laojunmiao, China",earthquake,,,,3,reviewed,us,us
2008-01-20T13:45:30.860Z,37.959,95.441,10,3.9,mb,18,104.9,,1.12,us,usp000fx36,2014-11-07T01:34:44.137Z,"287 km SW of Laojunmiao, China",earthquake,,0,,3,reviewed,us,us
2008-11-12T17:39:48.610Z,38.138,95.47,10,3.9,mb,9,107,,0.87,us,usp000gnj3,2014-11-07T01:37:43.714Z,"271 km SW of Laojunmiao, China",earthquake,,,,3,reviewed,us,us
2008-11-10T02:22:41.700Z,37.646,95.832,10,3.9,mb,24,106.8,,1.03,us,usp000gnbq,2014-11-07T01:37:43.040Z,"293 km SSW of Laojunmiao, China",earthquake,,,,3,reviewed,us,us
2006-03-30T00:04:53.960Z,36.4,95.235,35,3.8,mb,11,275.9,,1.19,us,usp000ed8c,2014-11-07T01:28:36.941Z,"northern Qinghai, China",earthquake,,,,2,reviewed,us,us
2007-12-01T14:45:47.100Z,36.362,97.638,35,3.8,mb,8,141.1,,1.48,us,usp000ftns,2014-11-07T01:34:19.458Z,"northern Qinghai, China",earthquake,,,,1,reviewed,us,us
2008-11-10T05:40:16.150Z,37.524,95.868,10,3.8,mb,14,111.8,,1.15,us,usp000gnc3,2014-11-07T01:37:43.083Z,"northern Qinghai, China",earthquake,,,,1,reviewed,us,us
2008-11-13T06:48:22.080Z,37.724,95.999,10,3.8,mb,11,121.2,,1.4,us,usp000gnk9,2014-11-07T01:37:43.798Z,"278 km SSW of Laojunmiao, China",earthquake,,,,1,reviewed,us,us
2008-11-15T07:35:03.210Z,37.686,96.001,10,3.8,mb,17,121.3,,0.77,us,usp000gnqz,2014-11-07T01:37:44.364Z,"281 km SSW of Laojunmiao, China",earthquake,,,,3,reviewed,us,us
2008-11-20T19:47:43.460Z,37.497,95.633,10,3.7,mb,10,122.4,,1.02,us,usp000gp48,2014-11-07T01:37:46.352Z,"northern Qinghai, China",earthquake,,,,1,reviewed,us,us
2005-03-01T01:06:19.440Z,37.596,96.342,25.9,3.6,mb,10,175.3,,0.88,us,usp000dh84,2014-11-07T01:25:07.540Z,"276 km SSW of Laojunmiao, China",earthquake,,51.6,,3,reviewed,us,us
2008-11-12T10:06:11.720Z,37.74,95.746,10,3.6,mb,13,121.8,,0.83,us,usp000gnhc,2014-11-07T01:37:43.640Z,"289 km SW of Laojunmiao, China",earthquake,,,,2,reviewed,us,us
2008-08-30T21:28:44.090Z,36.131,97.616,35,3.4,mb,7,272.1,,1.46,us,usp000gg15,2014-11-07T01:37:02.025Z,"northern Qinghai, China",earthquake,,,,2,reviewed,us,us
2008-01-12T13:27:41.020Z,37.646,96.107,35,3.4,mb,7,261.8,,1.31,us,usp000fwj8,2014-11-07T01:34:41.062Z,"280 km SSW of Laojunmiao, China",earthquake,,,,1,reviewed,us,us
2008-11-17T21:50:44.180Z,37.699,95.699,10,3.4,mb,8,257,,0.91,us,usp000gny5,2014-11-07T01:37:45.493Z,"295 km SW of Laojunmiao, China",earthquake,,,,1,reviewed,us,us
